脑室外引流术	External Ventricular Drain
塑形骨瓣之后回纳，避免压迫到STA。	Prior to replacement of the bone, the flap should be contoured to allow unimpeded entry and exit of the STA.
持续发展的血管重建技术	Developing Technology for Revascularization Procedures
最近涌现出了许多新的技术手段，目的在于简化显微血管吻合。	A number of new technologies have recently been introduced with the goal of making the process of microvascular anastomosis less technically demanding.
尽管它们如今还不能取代传统的显微外科缝合技术，但是其强大的潜力和希望在不断得到体现。	Although none of these technologies has yet been able to replace microsurgical suture anastomosis, they have recently displayed great potential and promise.
纤维蛋白粘合剂（fibrin sealants）的功能类似于缝线，处理难以吻合的部位时优势明显，可以实现无缝线化吻合。	Fibrin sealants can potentially be used to perform sutureless anastomoses. These sealants may function as multiple sutures within the anastomosis line, allowing accessibility to difficult sites.
另外一种新型工具就是线夹（suture clips），与订皮机非常相似，目前有两种：非穿透式钛夹和自动闭合式U形夹。	Another option is suture clips, which greatly resemble skin-closure staples and are available in two forms; nonpenetrating titanium clips and self-closing U-clips.
应用准分子激光辅助的无阻断式吻合（the excimer laser-assisted nonocclusive anastomosis，ELANA）技术，即吻合完成后在受血动脉管腔内刺入准分子激光探针开放吻合部位，因此避开了临时阻断血管带来的不良反应。	In an attempt to avoid the adverse effects of temporary vessel occlusion, the excimer laser-assisted nonocclusive anastomosis (ELANA) technique has been designed.  An arteriotomy is formed by passing an excimer laser probe through the lumen of the recipient vessel after attachment of the donor vessel.
尽管这些新进展促进了更理想化脑血管吻合的实现，但是如何将其更好地应用于神经外科还有许多问题需要解决，比如不够微型化。	These new technologies, although very valuable in facilitating more ideal cerebrovascular anastomoses, have yet to overcome a number of limitations for optimal use in neurosurgery, including adequate miniaturization.
高流量搭桥	High Flow Revascularization
20世纪60年代早期，Woringer 首次报道高流量的颈外动脉-颈内动脉（EC-IC）搭桥，由此开启了脑血管显微外科技术时代。	The advent of microneurovascular techniques began in the early 1960s when Woringer reported the first high-flow (HF) extracranial-intracranial (EC-IC) bypass procedure.
尽管Woringer的尝试因为技术复杂、并发症发生率高在起初并未被广泛接受，但这的确是脑血管重建领域里一个伟大的进步。	Although Woringer's technique was not initially popularized because of its complexity and the associated high morbidity, his progress was a major evolution in the field of cerebral revascularization.
直至上世纪70年代伊始，医药和外科技术的不断进展再次引起了人们对搭桥手术的兴趣。	It was not until the early 1970s when further medical and surgical advancements renewed interest in this form of vascularization.
1971年，William Lougheed以大隐静脉为桥血管实施了颈总动脉-颅内段颈内动脉搭桥并获得成功，随后，在此基础上，其他外科医师将这项技术进行改进并应用到颅内动脉瘤、缺血性脑血管病和颅底肿瘤的治疗。	In 1971, William Lougheed performed a common carotid artery (CCA) to intracranial internal carotid artery (ICH) bypass with an interposition saphenous vein graft. His success paved the way for other surgeons to refine its use for treatment of cerebral aneurysms, ischemic vascular disease, and skull base tumors.
EC-IC搭桥技术难度大、适应征局限，因此即便在现代神经外科中使用仍然不频繁。	Because of its technical complexity and limited surgical indications, EC-IC bypass is infrequently performed, even in modern day neurosurgery.
实施该手术前，有许多事项需要加以考虑，包括：选择合适病例、选用何种搭桥术式、技术要点、个体解剖学特征。	There are numerous considerations for performing an EC-IC bypass, including optimal patient selection, technical performance, selection of the appropriate bypass procedure, and the individual patient’s anatomic constraints.
搭桥手术分类	Classification of Revascularization Techniques
几乎每一根颅内动脉都曾被作为受血血管进行脑血流重建。	Cerebral revascularization has been described as involving almost every intracranial artery.
总体上有低流量、EC-IC的高流量和IC-IC的原位重建三种方式，应根据受血动脉的血流量需求以及是否有合适的供血血管来选择手术方式。	In general, these techniques are classified as either low-flow or high-flow EC-IC, or IC-IC (in situ) bypasses. The indications for a particular technique are based on the anticipated recipient’s demand of cerebral blood flow, as well as the availability of an appropriate donor source.
低流量供血动脉提供的血流量少于50ml/min（15-25ml/min），高流量者则可超过50ml/min（70-140ml/min）。	Low-flow donor vessels provide less than 50 mL/min (15–25 mL/min) of blood flow to the recipient vessel, while high-flow conduits provide more than 50 mL/min (70-140 mL/min) of blood flow.
低流量搭桥包括以颞浅动脉（STA）或枕动脉（OA）为供血血管将其吻合至颅内中等大小的动脉，比如STA与远端MCA（STA-MCA）搭桥，当然，小脑上动脉（SCA）或大脑后动脉（PCA）也可以作为受血动脉。	Examples of a low-flow technique include the use of the superficial temporal artery (STA) or occipital artery (OA) as donor vessels to anastomose with and support various medium-size intracranial recipient arteries. One such example is STA to distal middle cerebral artery (MCA) (STA-MCA) anastomosis, although other recipient arteries, such as the distal superior cerebellar artery (SCA) or posterior cerebral artery (PCA), have also been used.
STA-MCA搭桥应用最为广泛，在“低流量搭桥”一章中已详细阐述。	The STA-MCA bypass is the most widely used revascularization technique and is discussed in its own chapter.
IC-IC原位吻合属于低流量搭桥，特别适合大脑前动脉（A3-A3搭桥）和小脑后下动脉（PICA-PICA搭桥）的复杂动脉瘤，该技术的优点为所吻合的两根血管管径相近、桥血管就位于颅内且所需长度短。	In situ, IC-IC bypasses are typically low flow and are especially favored during complex aneurysm surgery involving the anterior cerebral artery (A3-A3) and posterior inferior cerebellar artery (PICA-PICA). In situ bypasses have the advantages of using caliber-matched donor and recipient arteries, along with a relatively short graft that remains protected inside the cranium.
